,num_layers,HR@10,NDCG@10,HR@20,NDCG@20
Layers_1,1,0.6460233980895138,0.46049422545181296,0.73537619405388,0.4872923445848499
Layers_2,2,0.6810668670172803,0.4900198833746885,0.7708489857250188,0.5167965628893878
Layers_3,3,0.6905835211620336,0.49697858330765016,0.7782011377052699,0.523242197803418
Layers_4,4,0.698991091553075,0.506090217126819,0.7881471145933956,0.5327899598794652
Layers_5,5,0.7085792994883904,0.5095492626787141,0.7943901828199349,0.5352855499957805
Layers_6,6,0.7227290615720368,0.5188506546393419,0.8115988694501092,0.5455775605372432
Layers_7,7,0.7243926872026045,0.5229869768737797,0.8093985903903259,0.548574776707089
Layers_8,8,0.7305820900862223,0.5270644762439622,0.8161246467031591,0.5529343966517971
Layers_9,9,0.7325677077743193,0.529174211503097,0.8195413402024972,0.5552989569166582
Layers_10,10,0.7411899395370469,0.5316554625436178,0.8284855640227541,0.5580344534877223
Layers_12,12,0.7458409359235806,0.5349456857797302,0.8355336123931165,0.5619445487205535
Layers_14,14,0.747003685020214,0.5337737026178094,0.8383599871203177,0.5612586995151705
Layers_16,16,0.752262888626525,0.534465134009054,0.8422417802583092,0.5616593571308176